Group,Subjs,Timelag,Timescale
young,19,14,-0.17346491452271337
young,19,15,-0.12731080246868998
young,19,16,-0.1337606921831524
young,19,17,-0.1050993903953085
young,19,18,-0.06419937556089314
young,19,19,-0.05928557905742706
young,19,20,-0.041016411930006914
young,19,21,-0.01902773401466917
young,19,22,0.007208760838357809
young,19,23,-0.024963137196794508
young,19,24,-0.08634082665973354
young,20,0,1.0
young,20,1,0.8640669796082702
young,20,2,0.6842762955429283
young,20,3,0.5396533909209447
young,20,4,0.4152623491890872
young,20,5,0.2792393383551244
young,20,6,0.13837137801494978
young,20,7,0.0005445328077576079
young,20,8,-0.12048439906200373
young,20,9,-0.22045726681258648
young,20,10,-0.29466136075676497
young,20,11,-0.3660103014245873
young,20,12,-0.4119296136502198
young,20,13,-0.4105256283573654
young,20,14,-0.3864788447039519
young,20,15,-0.33693360829796626
young,20,16,-0.2810119857936462
young,20,17,-0.2207367452380705
young,20,18,-0.17351857745894791
young,20,19,-0.11859414097820858
young,20,20,-0.08084717349742279
