Group,ICA,Timescale
young,SC_5,1.2330223651237553
young,SC_6,0.4628174711530123
young,SC_7,4.622952913606521
young,CC_1,1.7459271526020819
young,CC_2,0.930250793432726
young,CC_3,0.44243722499177385
young,CC_4,2.455277701140593
young,CC_5,0.3816822224632188
young,CC_6,1.4347524021616822
young,CC_7,1.8302668472923607
young,CC_8,0.19187946461732308
young,CC_9,0.35758754096704803
young,CC_10,0.3563325605358677
young,CC_11,1.709467027380022
young,CC_12,0.4797243954567544
young,CC_13,0.28329093546234063
young,CC_14,0.2903595770034252
young,CC_15,0.3749680455570752
young,CC_16,0.4248638264920346
young,CC_17,0.4656672032178537
young,CC_18,2.056529866858561
young,AUD_1,1.5139918204648977
young,AUD_2,1.3409947087648582
young,AUD_3,0.3185356616785373
young,AUD_4,2.555354414523299
young,AUD_5,0.3673011048074196
young,AUD_6,0.4715722380290832
young,DMN_1,2.362272764430223
young,DMN_2,2.0003495180860718
young,DMN_3,4.187187704153773
young,DMN_4,2.1311666112687586
young,DMN_5,6.526839226308486
young,DMN_6,3.231700847947374
young,DMN_7,0.41751368725146354
young,DMN_8,3.1857803513112435
young,DMN_9,1.7615403384077866
young,DMN_10,3.2580032906267777
young,DMN_11,2.285639895965263
young,SMN_1,10.519456616114685
young,SMN_2,4.053561390425767
young,SMN_3,0.9990801529910035
young,SMN_4,5.1042080379090216
young,SMN_5,5.035875642091533
young,SMN_6,1.6377739509582345
young,VIS_1,7.387049446080327
young,VIS_2,6.337825733816992
young,VIS_3,2.3582086244962572
young,VIS_4,3.6632388393899373
young,VIS_5,5.625135441203843
young,VIS_6,4.952461631192089
young,VIS_7,2.298262911673697
young,VIS_8,2.0355141669097168
young,VIS_9,4.021065304719162
young,VIS_10,5.110509575908571
young,VIS_11,3.7279078507257815
young,VIS_12,2.9946629706091317
young,SC_1,3.8027641659249123
young,SC_2,3.3253245923226973
young,SC_3,3.59898029687682
young,SC_4,2.37919752642639
young,SC_5,2.695878502290981
young,SC_6,1.3739854277411672
young,SC_7,7.085688810294072
young,CC_1,4.616191661557328
young,CC_2,2.4073178800032804
young,CC_3,2.160926114130528
young,CC_4,1.9971068539837866
young,CC_5,3.0413211125190087
young,CC_6,3.4268337168524576
young,CC_7,3.0942104812619156
young,CC_8,4.4516270565468945
young,CC_9,1.5038995476575847
young,CC_10,4.2540011082547196
young,CC_11,4.583096395398948
young,CC_12,3.673322425689171
young,CC_13,1.7339263136667376
young,CC_14,2.1717975914031578
young,CC_15,1.6894814848062325
young,CC_16,1.3968018104112303
young,CC_17,4.666978069125989
young,CC_18,4.615038786362867
young,AUD_1,1.8971310206248895
young,AUD_2,4.157543124793011
young,AUD_3,1.5208243593195758
young,AUD_4,3.4646709205348305
young,AUD_5,1.9308760432143326
young,AUD_6,2.609715582970413
young,DMN_1,0.74301444229867
young,DMN_2,1.5502450776756425
young,DMN_3,4.9871661327768715
young,DMN_4,1.6287204862784153
young,DMN_5,2.388431286818793
young,DMN_6,1.8674221273471698
young,DMN_7,0.43363393653185056
young,DMN_8,2.4184979766661963
young,DMN_9,2.66439890925874
young,DMN_10,4.087932519898295
young,DMN_11,2.7703706075337213
young,SMN_1,4.611150275354347
young,SMN_2,3.523358534959
young,SMN_3,0.6075842105751048
young,SMN_4,1.974212172461263
young,SMN_5,1.7723290629719923
young,SMN_6,0.8760233188353626
young,VIS_1,3.0325617924968133
young,VIS_2,4.235304081849109
young,VIS_3,3.6476636133706184
young,VIS_4,2.8728395729303027
young,VIS_5,3.281556256075522
young,VIS_6,1.5376308358598956
young,VIS_7,1.6385786480042914
young,VIS_8,0.6369646393912245
young,VIS_9,3.8874851344747876
young,VIS_10,3.161149336835866
young,VIS_11,3.304848567497893
young,VIS_12,2.294079802973797
young,SC_1,0.45240641027844897
young,SC_2,4.220934504701096
young,SC_3,2.43149467283366
young,SC_4,3.6287668692824324
young,SC_5,2.218353832242884
young,SC_6,1.697374825154975
young,SC_7,3.912703051291074
young,CC_1,3.6270196690538365
